Drug_classes,Count
Dopaminergic antiparkinsonism agents,5
Amylin analogs,5
Topical antihistamines,5
Topical anti-infectives,5
Neuraminidase inhibitors,5
Purine nucleosides,5
Cox-2 inhibitors,5
Lincomycin derivatives,5
Penicillinase resistant penicillins,5
Fibric acid derivatives,5
Fatty acid derivative anticonvulsants,5
Mitotic inhibitors,5
Topical steroids with anti-infectives,5
Inhaled anti-infectives,4
Skeletal muscle relaxants,4
CGRP inhibitors,4
Amebicides,4
Probiotics,4
Parathyroid hormone and analogs,4
Miscellaneous bone resorption inhibitors,4
Succinimide anticonvulsants,4
Cephalosporins / beta-lactamase inhibitors,4
Carbapenems / beta-lactamase inhibitors,4
PCSK9 inhibitors,4
Alpha-adrenoreceptor antagonists,4
Meglitinides,4
Antigout agents,4
Loop diuretics,4
Hydantoin anticonvulsants,4
Group I antiarrhythmics,4
Phenylpiperazine antidepressants,4
Triazine anticonvulsants,4
Aminopenicillins,4
Inhaled corticosteroids,4
Antiviral boosters,4
Adrenergic uptake inhibitors for ADHD,4
Carbapenems,4
Corticotropin,3
Vaginal anti-infectives,3
Miscellaneous anticonvulsants,3
CD20 monoclonal antibodies,3
Barbiturates,3
Tetracyclic antidepressants,3
Antibiotics / antineoplastics,3
Thiazolidinediones,3
Calcineurin inhibitors,3
Miscellaneous genitourinary tract agents,3
Non-sulfonylureas,3
Alpha-glucosidase inhibitors,3
Topical antivirals,3
Otic steroids,3
Peripherally acting antiobesity agents,3
Barbiturate anticonvulsants,3
Thrombin inhibitors,2
Antiasthmatic combinations,2
Topical anti-rosacea agents,2
Glycoprotein platelet inhibitors,2
Leukotriene modifiers,2
Chemokine receptor antagonist,2
Gamma-aminobutyric acid reuptake inhibitors,2
Melanocortin receptor agonists,2
Thrombolytics,2
Psoralens,2
Phosphate binders,2
Bile acid sequestrants,2
Cholesterol absorption inhibitors,2
Antimanic agents,2
Urinary pH modifiers,2
Prolactin inhibitors,2
Selective phosphodiesterase-4 inhibitors,2
Antitussives,2
Investigational drugs,2
Miscellaneous GI agents,2
Peripheral opioid receptor antagonists,2
Anticholinergics / antispasmodics,2
GI stimulants,2
Gonadotropins,2
Carbamate anticonvulsants,2
AMPA receptor antagonists,2
Antimalarial quinolines,2
Agents for pulmonary hypertension,2
Other cephalosporins,2
Antiadrenergic agents (central) with thiazides,2
Mast cell stabilizers,2
Renin inhibitors,2
Local injectable anesthetics,2
Calcitonin,2
Selective estrogen receptor modulators,2
Hormones / antineoplastics,2
Uterotonic agents,2
Next generation cephalosporins,2
Oxazolidinone antibiotics,2
Glycylcyclines,2
Fourth generation cephalosporins,2
Miscellaneous antipsychotic agents,2
Immune globulins,1
Mouth and throat products,1
Smoking cessation agents,1
Adamantane antivirals,1
General anesthetics,1
Anthelmintics,1
Somatostatin and somatostatin analogs,1
Skeletal muscle relaxant combinations,1
Antipseudomonal penicillins,1
CD52 monoclonal antibodies,1
Progestins,1
Interferons,1
Thioxanthenes,1
